Giá,DT,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
"8,75 tỷ",54 m,Đường Lê Đình Thám, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,10m,Y,Nhà mặt tiền,---,Y,"4,5m",3,Y,12m,4,---
"4,5 tỷ",100 m,Đường Nguyễn Sinh Sắc, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Tây Nam,Y,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,Y,5m,5,Y,20m,5,---
"2,75 tỷ",100 m,Đường Tùng Lâm 3, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Bắc,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,Y,20m,---,---
"6,8 tỷ",108 m,Đường Trần Thủ Độ, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,10m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,"21,6m",---,---
"3,7 tỷ",100 m,Đường Vũng Thùng 3, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng,Tây Bắc,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,Y,20m,---,---
26 tỷ,500 m,song hào Đường Song Hào, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,_,Y,Cần bán,33m,Y,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,Y,---,3,Y,---,5,---
52 tỷ,162 m,Đường An Thượng 29, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông Nam,Y,Cần bán,"5,5m",Y,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,Y,9m,12,Y,18m,45,---
"2,05 tỷ",100 m,Đường Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng,Đông Nam,---,Cần bán,"5,5m",---,"Đất nền, liền kề, đất dự án",---,---,5m,---,---,20m,---,---
"11,2 tỷ",102 m,Đường Khuê Mỹ Đông 15, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,Nam,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,---,Y,6m,4,Y,---,7,---
"4,95 tỷ",60 m,Đường Bùi Hữu Nghĩa, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng,Tây,---,Cần bán,4m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,1,---,---,3,---
"3,7 tỷ",116 m,Đường Vạn Tường, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,Đông Nam,---,Cần bán,"7,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"7,5m",5,---,"15,5m",5,---
300 triệu,32 m,Đường Võ Nguyên Giáp, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,_,Y,Cần bán,33m,Y,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,Y,4m,25,Y,8m,1,---
"4,8 tỷ",68 m,Đường Đống Đa, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,6m,3,Y,"12,3m",3,---
"6,2 tỷ",88 m,Đường Bùi Viện, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,Đông Nam,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"2,2 tỷ",38 m,Đường Ông Ích Khiêm, Phường Nam Dương, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,3m,Y,Nhà trong hẻm,---,---,"4,4m",2,---,"9,2m",2,---
"4,3 tỷ",77 m,Đường Trương Chí Cương, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,Tây Bắc,---,Cần bán,5m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"5,7 tỷ",85 m,Đường Đa Phước 10, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Nam,---,Cần bán,"7,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,3,---,17m,4,---
7 tỷ,109 m,Đường Ngô Thế Vinh, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng,Tây Nam,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
50 tỷ,117 m,Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng,Bắc,---,Cần bán,20m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,8,---,"23,4m",6,---
"9,1 tỷ",200 m,Trung Lương 10, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Bắc,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,10m,---,---,20m,---,---
8 tỷ,80 m,Đường Nguyễn Xuân Khoát, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",---,---,5m,---,---,16m,---,---
"4,5 tỷ",97 m,Đường 2/9, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,Nam,---,Cần bán,4m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2,---,---,2,---
11 tỷ,124 m,Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng,Đông Nam,---,Cần bán,30m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"10,4 tỷ",82 m,Đường Thạch Lam, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Tây Nam,Y,Cần bán,"5,5m",Y,Nhà mặt tiền,---,Y,"5,1m",4,Y,---,7,---
