Giá,DT,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
"2,5 tỷ",48 m,Đường Dũng Sĩ Thanh Khê, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng,Đông Bắc,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,2,Y,12m,2,---
21 tỷ,162 m,Đường An Thượng 33, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông,Y,Cần bán,"5,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,9m,7,Y,18m,15,---
"8,69 tỷ",70 m,Đường An Thượng 38, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,5m",4,---,15m,7,---
"1,7 tỷ",69 m,Đường Võ Chí Công, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Nam,---,Cần bán,---,---,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,---,---,1,---,25m,2,---
"1,2 tỷ",67 m,Đường Âu Cơ, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng,Đông,---,Cần bán,20m,---,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,---,5m,2,---,12m,2,---
"2,95 tỷ",100 m,Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,3m,Y,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,---,6m,---,---,---,5,---
"1,55 tỷ",70 m,Đường Võ Chí Công, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,_,Y,Cần bán,---,Y,Căn hộ chung cư,---,Y,6m,26,Y,---,2,---
"8,699 tỷ",60 m,Đường An Thượng 38, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,5m",4,---,15m,7,---
"3,6 tỷ",88 m,Đường Cổ Mân Mai 3, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Bắc,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,2,Y,"17,5m",3,---
"6,3 tỷ",80 m,Đường Tô Hiến Thành, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,"7,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,1,---,16m,3,---
"2,25 tỷ",50 m,Đường Trường Chinh, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,_,---,Cần bán,10m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,2m",2,Y,12m,2,---
"26,9 tỷ",150 m,Đường Bà Huyện Thanh Quan, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,"7,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,8,---,30m,10,---
"8,08 tỷ",160 m,Đường Mai Chí Thọ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,21m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"8,3m",---,---,10m,---,---
"2,35 tỷ",100 m,Đường Dương Bá Cung, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Bắc,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"3,2 tỷ",61 m,Đường Ngô Chi Lan, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"3,5m",---,Y,20m,---,---
"3,79 tỷ",49 m,Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,4m,3,---,13m,3,---
"7,6 tỷ",220 m,Đường Hoàng Diệu, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,2m,---,"Đất thổ cư, đất ở",---,---,"9,7m",---,---,22m,---,---
15 tỷ,150 m,Đường Dương Vân Nga, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng,_,Y,Cần bán,20m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,21m,6,Y,---,12,---
11 tỷ,100 m,Đường Hoa Phượng, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng,Tây,---,Cần bán,"7,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,3,---,---,4,---
"9,5 tỷ",100 m,Đường Nguyễn Phước Lan, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,_,---,Cần bán,48m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"7,9 tỷ",122 m,Đường Lê Văn Hiến, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,_,Y,Cần bán,40m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,5m",---,Y,26m,8,---
"19,99 tỷ",200 m,Đường Nguyễn Phước Lan, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,_,---,Cần bán,48m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,10m,---,---,20m,---,---
"2,395 tỷ",55 m,Đường Lương Thế Vinh, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng,_,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,5m,2,Y,11m,3,---
"3,7 tỷ",75 m,Đường Điện Biên Phủ, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,6m,---,Nhà mặt tiền,---,---,6m,2,---,---,3,---
